time,type,location,id
2026-03-09T15:09:19.3910316Z,entry,front-test,a25-76000001
2026-03-09T15:09:19.6200514Z,exit,back-test,a25-76000001
2026-03-09T15:09:31.3593349Z,entry,solo-test,a01-123456
2026-03-09T15:13:18.5946070Z,entry,gate1,a25-76000001
2026-03-09T15:13:24.1110285Z,exit,gate1,a25-76000001
2026-03-09T15:13:50.4243380Z,exit,gate2,a25-76000001
2026-03-11T13:21:31.2436586Z,entry,위병소,a25-76000001
2026-03-11T13:21:47.0480067Z,exit,위병소,a25-76000001
2026-03-11T13:25:58.3492843Z,entry,후문,a25-76000001
2026-03-11T13:26:10.2628101Z,exit,후문,a25-76000001
2026-03-11T13:39:04.5277872Z,entry,후문,a25-76000001
2026-03-11T13:39:43.6271706Z,entry,후문,a25-76000001
2026-03-11T14:26:27.7868072Z,exit,후문,a25-76000001
2026-04-12T14:35:56.2264040Z,entry,gate-1,a25-76000001
